"InventoryId","ControlType","ControlName","Label","Event","OldHandler","Classification","CurrentMapping","Evidence"
"18","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"19","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"20","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"21","RadioButton","","","Click","Nav_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"22","Button","NotificationBellButton","","Click","NotificationBell_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"23","Button","","✓  MARK READ","Click","NotificationFlyoutMarkAllRead_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"24","ListBox","NotificationFlyoutList","","SelectionChanged","NotificationFlyoutSelection_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"25","Button","","▤  ACTIVITY & AUDIT","Click","NotificationFlyoutActivity_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"26","Button","","✕  CLEAR","Click","NotificationFlyoutClear_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"27","TabControl","Tabs","","SelectionChanged","Tabs_SelectionChanged","Intentionally obsolete","WPF presentation event replaced by Avalonia binding, commands, layout, or the single aggregate refresh timer.","MainWindow.axaml; MainWindowViewModel.cs"
"28","Button","","↻  REFRESH","Click","DashboardRefresh_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"29","Button","DashboardStartButton","▶  START","Click","Start_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"30","Button","DashboardRestartButton","↻  RESTART","Click","Restart_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"31","Button","DashboardStopButton","■  STOP","Click","Stop_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"32","Button","","↗  OPEN","Click","DashboardOpenWorld_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"33","Button","","▣  BACKUP","Click","Backup_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"34","Button","","✚  DOCTOR","Click","DashboardOpenDoctor_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"35","Button","","↗  OPEN","Click","DashboardOpenPlayers_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"36","Button","","↗  OPEN","Click","DashboardOpenGuilds_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"37","Button","","↗  OPEN","Click","DashboardOpenMods_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"38","Button","","⌕  SCAN","Click","ScanServerProcesses_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"39","Button","","✚  DOCTOR","Click","RunServerDoctor_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"40","Button","","✕  CLEANUP","Click","ForceCleanup_Click","BACKEND REQUIRED","Unsafe or codec-dependent mutation remains a visible disabled BACKEND REQUIRED capability.","MainWindow.axaml capability-truth controls; GUI restoration roadmap"
"41","ComboBox","HistoricalRangeCombo","","SelectionChanged","HistoricalRangeCombo_SelectionChanged","Intentionally obsolete","WPF presentation event replaced by Avalonia binding, commands, layout, or the single aggregate refresh timer.","MainWindow.axaml; MainWindowViewModel.cs"
"42","Button","UpdateServerButton","UPDATE SERVER","Click","Update_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"43","Button","","","Click","HistoricalRefresh_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"44","Button","","","Click","HistoricalExport_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"45","Button","","{Binding Action}","Click","EnvironmentAction_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"46","Button","","＋  CREATE DEFAULT SETTINGS","Click","CreateSetupSettings_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"47","Button","","↻  CHECK FOR UPDATES","Click","CheckForUpdates_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"48","Button","","⬇  INSTALL MISSING","Click","InstallRequired_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"49","Button","","✓  VERIFY FILES","Click","VerifyEnvironment_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"50","Button","","↻  LOAD ACTIVE","Click","LoadActive_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"51","Button","","↶  RESET DEFAULTS","Click","LoadDefaults_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"52","Button","SaveConfigButton","✓  SAVE CHANGES","Click","SaveConfig_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"53","Button","SimpleConfigViewButton","⚙  SIMPLE SETTINGS","Click","ShowSimpleConfig_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"54","Button","AdvancedConfigViewButton","⚙  ADVANCED SETTINGS","Click","ShowAdvancedConfig_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"55","TextBox","ConfigSearchBox","","TextChanged","ConfigFilter_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"56","ComboBox","ConfigCategoryCombo","","SelectionChanged","ConfigFilter_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"57","Button","","","Click","ImportConfig_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"58","Button","","","Click","ExportConfig_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"59","CheckBox","","","Click","QolOption_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"60","TextBox","SimpleServerNameTextBox","","TextChanged","SimpleServerIdentity_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"61","Button","","🎲  GENERATE","Click","GenerateServerName_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"62","TextBox","SimpleServerDescriptionTextBox","","TextChanged","SimpleServerIdentity_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"63","ComboBox","QolPresetCombo","","SelectionChanged","QolPresetCombo_SelectionChanged","Intentionally obsolete","WPF presentation event replaced by Avalonia binding, commands, layout, or the single aggregate refresh timer.","MainWindow.axaml; MainWindowViewModel.cs"
"64","ComboBox","SimpleDeathPenaltyCombo","","SelectionChanged","SimpleDeathPenalty_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"65","Button","","📂  OPEN LOGS","Click","OpenLogsFolder_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"66","Button","","⇩  EXPORT VIEW","Click","SaveVisibleLog_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"67","ComboBox","ConsoleSeverityFilter","","SelectionChanged","ConsoleFilter_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"68","ComboBox","ConsoleCategoryFilter","","SelectionChanged","ConsoleFilter_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"69","TextBox","ConsoleSearchBox","","TextChanged","ConsoleSearch_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"70","CheckBox","HideRoutineRestCheckBox","Hide REST traffic","Checked","ConsoleFilter_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"71","CheckBox","HideRoutineRestCheckBox","Hide REST traffic","Unchecked","ConsoleFilter_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"72","Button","","↻  REFRESH VIEW","Click","RefreshConsole_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"73","Button","PauseConsoleButton","Ⅱ  PAUSE","Click","PauseConsole_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"74","Button","","✕  CLEAR VIEW","Click","ClearConsole_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"75","Button","","⚕  RCON DOCTOR","Click","RconDoctor_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"76","Button","","●  CONNECT","Click","RconConnect_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"77","Button","","■  DISCONNECT","Click","RconDisconnect_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"78","ComboBox","RconPresetCombo","","SelectionChanged","RconPreset_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"79","Button","","➤  SEND COMMAND","Click","RconSend_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"80","Button","","↻  REFRESH STATUS","Click","RefreshAdminCommandsStatus_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"81","Button","","↻  REFRESH","Click","RefreshPlayers_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"82","Button","","⌕  DISCOVER SAVES","Click","DiscoverPlayerSaves_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"83","Button","","⇩  EXPORT CSV","Click","ExportPlayersCsv_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"84","TextBox","PlayerSearchBox","","TextChanged","PlayerSearch_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"85","ComboBox","PlayerViewCombo","","SelectionChanged","PlayerView_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"86","ComboBox","PlayerAdminFilterCombo","","SelectionChanged","PlayerAdminFilter_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"87","Button","","ℹ  KICK","Click","Kick_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"88","Button","","⛔  TEMP BAN 24H","Click","TemporaryBan_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"89","Button","","⛔  BAN","Click","Ban_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"90","Button","","✓  UNBAN","Click","Unban_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"91","Button","","⇄  PROMOTE ADMIN","Click","PromoteAdmin_Click","BACKEND REQUIRED","Unsafe or codec-dependent mutation remains a visible disabled BACKEND REQUIRED capability.","MainWindow.axaml capability-truth controls; GUI restoration roadmap"
"92","Button","","✖  REMOVE ADMIN","Click","RemoveAdmin_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"93","Button","","ℹ  WHITELIST","Click","WhitelistPlayer_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"94","Button","","✖  REMOVE WHITELIST","Click","RemoveWhitelist_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"95","Button","","⇄  ADMIN ACCESS","Click","AdminAccess_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"96","Button","","＋  ADD NOTE","Click","AddAdministrationNote_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"97","Button","","ℹ  ISSUE WARNING","Click","IssuePlayerWarning_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"98","Button","","✖  CLEAR WARNINGS","Click","ClearPlayerWarnings_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"99","DataGrid","PlayersGrid","","SelectionChanged","PlayerSelection_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"100","Button","SavePlayerNoteButton","✓  SAVE NOTE","Click","SavePlayerNote_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"101","Button","","↻  REFRESH","Click","RefreshGuilds_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"102","Button","","⧉  COPY DISCOVERY DIAGNOSTICS","Click","CopyWorldDiscoveryDiagnostics_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"103","Button","","⇩  EXPORT","Click","ExportGuildSnapshot_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"104","TextBox","GuildSearchBox","","TextChanged","GuildSearchBox_TextChanged","Intentionally obsolete","WPF presentation event replaced by Avalonia binding, commands, layout, or the single aggregate refresh timer.","MainWindow.axaml; MainWindowViewModel.cs"
"105","ComboBox","GuildStatusFilterCombo","","SelectionChanged","GuildStatusFilterCombo_SelectionChanged","Intentionally obsolete","WPF presentation event replaced by Avalonia binding, commands, layout, or the single aggregate refresh timer.","MainWindow.axaml; MainWindowViewModel.cs"
"106","Button","","✖  CLEAR FILTERS","Click","ClearGuildFilters_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"107","DataGrid","GuildsGrid","","SelectionChanged","GuildSelection_Changed","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"108","Button","","⧉  COPY GUILD ID","Click","CopyGuildId_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
"109","Button","","📂  OPEN PLAYER","Click","OpenGuildPlayer_Click","Mapped","Historical intent is represented by an Avalonia command/binding or an adapted local-only UI action over the current headless API.","MainWindow.axaml; MainWindowViewModel.cs; IMystTiqApiClient.cs; LocalManagementApiHost.cs"
