Area,Historical control/workflow,Old handler(s),Current GUI binding,Current owner,Current API,Classification,Implementation note
Players,Refresh,RefreshPlayers_Click,RefreshMonitoringCommand,GetPlayersAsync/GetStatusPollingAsync,GET /api/v1/players,REWIRE,Already present.
Players,Kick/Ban,Kick_Click; Ban_Click,KickSelectedPlayerCommand / BanSelectedPlayerCommand,RunPlayerAdminActionAsync,POST /api/v1/players/{playerId}/action,REWIRE,Supported by current headless Palworld REST bridge.
Players,Whisper/Promote/Give Item,Historical handlers,Commands exist but backend intentionally reports unsupported,RunPlayerAdminActionAsync,POST /api/v1/players/{playerId}/action,KEEP DISABLED/EXPLAIN,Current headless service explicitly refuses unsupported vanilla operations; GUI should show reason rather than pretending success.
Players,Temp ban/unban/admin removal/whitelist/notes/warnings/save discovery/export,Historical player administration handlers,No current equivalent found,No current endpoint for most,—,REIMPLEMENT/ADAPT,Restore incrementally with explicit provider/capability detection and audit logging.
Guilds,Read-only discovery,RefreshGuilds_Click,RefreshPlayerGuildExplorerCommand,GetPlayerGuildExplorerAsync,GET /api/v1/world/players-guilds,REWIRE,Current backend has authoritative decoded GroupSaveDataMap exploration.
Guilds,Add player/transfer leader/claim orphan/repair mappings/apply repair,Historical handlers,No mutation commands in new client,No mutation API,—,REIMPLEMENT,Must use backup/preview/transaction safety before any save mutation.
Backups,Create/refresh/restore/delete,Historical handlers,Create/Refresh/Restore/Delete backup commands,Backup API,GET/POST/DELETE /api/v1/backups...,REWIRE,Core migrated.
Backups,"Verify selected/all, retention preview/apply, open root",Historical handlers,No direct equivalents found,Potential local/headless additions,—,REIMPLEMENT/ADAPT,Verification/retention should be server-side for remote-safe behavior.
MOD Dashboard/Library,Refresh/verify/enable/disable,Historical handlers,RefreshModsCommand/VerifyModsCommand/EnableSelectedModCommand/DisableSelectedModCommand,MOD API,"GET /api/v1/mods, /verify; POST enabled",REWIRE,Core migrated.
MOD Library,Install ZIP/delete/enable all/disable all/repair/local Steam import/web info/workshop,Historical handlers,No equivalents found,No current API contracts,—,REIMPLEMENT,Restore as separate MOD management phase.
UE4SS,Basic inventory/health,Historical UE4SS refresh,RefreshModsCommand / UE4SS page data,UE4SS endpoint,GET /api/v1/ue4ss,REWIRE,Read-only/runtime health can use current endpoint.
UE4SS,Version source/releases/install/import/backup/restore/toggle,Historical handlers,No equivalent found,No mutation API,—,REIMPLEMENT,Needs dedicated safe UE4SS management API.
World Inspector,Inspect active world,InspectActiveWorld_Click,RefreshWorldExplorerCommand,GetWorldExplorerAsync,GET /api/v1/world/explorer,REWIRE,Read-only exploration migrated.
World Inspector,Nested files/health/integrity/validator/repair/transactions/import,Historical handlers,Mostly absent in Avalonia client,No matching current APIs found,—,REIMPLEMENT,Major parity gap; preserve transaction/safety-backup architecture from historical design concepts.
Bases,Read-only evidence,BaseManagerRefresh_Click,RefreshPlayerGuildExplorerCommand,GetPlayerGuildExplorerAsync,GET /api/v1/world/players-guilds,ADAPT,New client is explicitly read-only.
Bases,Ownership preview/apply/plan/export/backup,Historical handlers,No equivalent found,No current mutation API,—,REIMPLEMENT,Never direct-edit from GUI; require server-side transaction/backup/validation.
Recovery,Player/guild/base recovery workflows,Historical recovery handlers,No current navigation page/API,No current mutation API,—,REIMPLEMENT,Restore later as explicit administration workflows; current UI states these remain later.
Activity & Audit,Refresh/tail,AuditRefresh_Click,RefreshActivityCommand,GetActivityLogTailAsync,GET /api/v1/activity/tail,REWIRE,Core migrated.
Activity & Audit,Search/severity/category/export/clear,Historical handlers,No full equivalents,Mostly client-side except clear semantics,—,REIMPLEMENT/ADAPT,Filtering/export can be client-side; clearing persistent audit requires careful policy.
Notifications,Bell/flyout/mark read/pin/dismiss/self-test/export,Historical handlers,No notification subsystem in current Avalonia mapping,No endpoint,—,REIMPLEMENT,"Missing page/workflow, not merely styling."
Crash Analyzer,Historical crash history/stability/isolation controls,Historical handlers,Placeholder page,No equivalent API,—,REIMPLEMENT,Explicitly marked not fully migrated in v0.4.6.3.
Palworld Save Tools,Historical tool self-tests/converter/python/world tests,Historical handlers,Placeholder page,No equivalent API,—,REIMPLEMENT,Explicitly marked not fully migrated in v0.4.6.3.
Workspace,Path inspection/refresh,WorkspaceRefresh_Click,LoadConfigurationCommand,GetEditableConfigurationAsync,GET /api/v1/config/editable,ADAPT,Current client can inspect configuration-backed paths.
Workspace,Browse/open/validate/save paths,Historical handlers,Partial load/save only,SaveEditableConfigurationAsync,PUT /api/v1/config/editable,ADAPT,Local browse/open must respect whether GUI is local or remote; remote path opening cannot use local shell.
Diagnostics Center,Network/listener/firewall checks,RunFullDiagnostics_Click,RunNetworkDiagnosticsCommand,GetNetworkDiagnosticsAsync,GET /api/v1/diagnostics/network,ADAPT,Current diagnostics focus is network/firewall/listener and is functional.
Diagnostics Center,Firewall repair / restart,Newer diagnostics workflow,RepairFirewallCommand / RestartFromDiagnosticsCommand,RepairNetworkFirewallAsync / RestartFromNetworkDiagnosticsAsync,POST diagnostics repair/restart,REUSE,New functionality should be retained even if absent from old GUI.
Diagnostics Center,Export/support package/copy/open diagnostics,Historical handlers,Copy report code-behind exists; export/support package partial/absent,Mixed,—,ADAPT/REIMPLEMENT,Keep the new copy-report function; restore richer report/support workflow.
Settings,Connection profiles/API endpoint/auth/TLS,Old settings were mostly local paths/API password,SaveProfileCommand/DiscoverServicesCommand/ConnectCommand,Profile store + API client + discovery/bootstrapper,client-side + /healthz,KEEP NEW,Blend old styling with current connection-profile functionality; do not regress remote/LAN/TLS/session behavior.
